故障类别,软/硬件,部件,标题,描述,原因分析,解决方案
地面车异常,区域急停,,地面车急停多次,"由于现场机器人全部没电，让现场搬机器人出来，然后手动充电
大约12:16之前的都是搬动之后没有放对位置或者还有车没有搬出来导致的，见截图",,远程修复定位，解决
软件,RCS,,RCS崩溃，导致机器人没电,"8:09反馈机器人没电，查询RCS日本时间凌晨24：35分RCS崩溃，导致机器人早上没有电
",,"1、移除所有机器人
2、机器人手动充电，于10:55左右使用35个机器人恢复现场运行
3、14:30RCS一共崩溃4次，暂停业务回退显卡驱动，RCS正常，没有出现崩溃
4、机器人于19:00左右陆续添加完成"
地面车异常,区域急停,,地面车区域锁定,"项目名称：青浦山姆 
报警消息：地面车 205119 区域急停 机器人: 205119 发生了区域锁定,坐标: 5,18,错误码: 234,描述Destination no navigation positioning 
现场客户在地面车在电梯平台排队时操作离岗，前车进入20115电梯口时与后车205119相撞导致区域急停",,"1.拷贝日志log；
2.小车让工人摆放到毯子上后，重定位恢复；"
飞箱异常,接驳位偏移量异常,,接驳位没有小车,"项目名称：青浦山姆 
报警消息：推箱->地面车
飞箱: 104023 地面车: 205101
接驳位没有小车",根据log发现104023飞箱此前报错都在一个接驳位报错，其余位置没有出现。,"1.拷贝飞箱日志，拷贝tof日志；
2..终止启动任务后恢复；
3.调整TP-A001-03接驳位置的偏移量."
飞箱异常,料箱位置不正,,101021 飞箱推箱失败,"报警消息：推箱->地面车
飞箱: 101021 地面车: 219218
补推3次后，地面车箱传感器检测不到",1、飞箱第一次没放正，地面车微动开关检测不到箱子，后面飞箱继续补推3次后，料箱位置还是不正，地面车箱传感器检测不到箱子，导致报错,"1、读飞箱日志、TOF日志
2、手动控制把箱子摆正，压到地面车微动开关
3、终止任务— 启动任务—点击已解决"
飞箱异常,TOF异常,,101032 飞箱拉箱调整失败,"报警消息：拉箱<-货架
飞箱: 101032 箱位: (A008)13-024
调整位置的次数超过10次,调整拉箱位置失败",1、飞箱TOF多次识别后调整失败，导致报错,"1、读飞箱日志、TOF日志
2、手动控制把箱子往外拉一点
3、终止任务— 启动任务—点击已解决
4、问题打包反馈给肖侠驹分析"
硬件,分拣机,电梯板,门急停失效,波兰希音大P3第三套平台，62号分拣机（192.168.3.72）门急停没有效果,"1，更换门触发器没有效果，连接线和接线位置没有问题
2，尝试更新同一固件没有效果
3，尝试更换电梯板，电梯板上疑似有烧坏的元器件",更换电梯板后恢复正常
数据补推和货架释放,,,释放货架,释放货架BZQCT2040,,通过WES数据查询该货架状态，可释放情况下通过API手动调用接口释放。
硬件,扫码台相机,,相机没画面,东百6-4-2上层一个扫码台软件失去相机画面，重启扫码软件后没有变化,大华相机问题,通过SVS检查两个相机连接情况，发现右侧相机连接不在线，需要给右侧相机断电并通电来恢复。
波次问题（移除、迁移、关闭）,,,关闭波次,PNT第1套：关闭未启动波次PO2507130067,客户现场要求,通过WES数据库修改wave_info表中该波次状态为4即可。
软件,MCS,,上报商品完成失败,WCS提示“上报商品完成失败”,WCS推送商品完成数据失败,通过WCS界面手动操作数据重推，待WCS界面“正在重推”消失后即恢复正常。
飞箱异常,TOF异常,,"推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高","推箱->地面车 
飞箱: 104023 地面车: 205115 
推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",观察后发现料箱并未超高,"1.读取TOF日志，读取飞箱日志；
2.终止启动后恢复"
参数配置,,,添加白名单,添加白名单^XDL[0-9]{8}$,,在配置文件里面添加^XDL[0-9]{8}$
地面车异常,区域急停,,地面车 205084 区域急停,"地面车 205084 区域急停 机器人: 205084 发生了区域锁定,坐标: 8,17,错误码: 21C,描述Bot stop trigged by the TOF radar",1、前方车辆到达电梯之前会自动矫正一下位置，导致后方车辆激光感应异常,1、下午会升级小车配置文件，优化该问题
飞箱异常,料箱脱钩,,101013 飞箱拉箱调整失败,拉箱<-货架   飞箱: 101013 箱位: (A011)10-039..........拉箱失败:beltin没到位(237.2).(10),1、飞箱拉出箱子后，皮带空转，导致箱子拉不到位，TOF也检测不到箱子,"1、手动操作把箱子推回货架中
2、终止任务—启动任务—已解决（恢复正常）"
客户操作,,,地面车 219248 区域急停,"地面车 219248 区域急停 机器人: 219248 发生了区域锁定,坐标: 25,30,错误码: 242,描述执行动作时,没有到达目标点附近",1、由于现场工作人员放入的物品超高，小车通过坐姿工作站下面时，超高的物品撞到护栏，导致走偏发生急停,"1、读取小车日志
2、手动操作校准小车重定位
3、点击已解决（恢复正常）"
硬件,其它,,104106 拉箱失败,拉箱<-地面车 飞箱: 104106 地面车: 170137............在地面车拉箱失败，箱子脱钩,根据现场情况发现接驳位地毯偏移,将现场接驳位地毯调整
地面车异常,区域急停,,80094 区域锁定,"机器人: 80094 发生了区域锁定,坐标: 8,17,错误码: 21C,描述Bot stop trigged by the TOF radar",经观察发现是因为前车进升降平台调整，所以后车触发激光导致,"1.导出此类问题视频，上交研发分析；
2.重定位后恢复"
飞箱异常,TOF异常,,104062 飞箱推箱调整失败,"报警消息：推箱->地面车
飞箱: 104062 地面车: 205084
补推3次后，地面车箱传感器检测不到",1、飞箱TOF校准时未对准小车正中间，箱子推到小车上时导致箱子一边搭在托盘梁上，小车传感器未检测到箱子，多次补推后依然无法识别,"1、读飞箱日志
2、手动控制把箱子调整到托盘中间，压到小车传感器
3、终止任务— 启动任务—点击已解决"
飞箱异常,接驳位偏移量异常,,104022推箱失败,"推箱->地面车  飞箱: 104022 地面车: 170137.......推箱到地面车,车上有箱",1.接驳位偏移量过低导致推不进去,增加接驳位偏移量0.002点击已解决恢复
飞箱异常,TOF异常,,104023 飞箱推箱调整失败,"报警消息：推箱->地面车
飞箱: 104023 地面车: 205091",1、根据监控判断是飞箱到达接驳位后，小车没有旋转对准飞箱，而是横向停车，导致飞箱推箱时撞到小车推箱失败,"1、读飞箱日志
2、手动推箱到地面车失败后，联系现场人员，手动恢复小车定位
3、终止任务— 启动任务—点击已解决"
客户操作,,,地面车 226072 区域急停,"报警消息：地面车 226072 区域急停 机器人: 226072 发生了区域锁定,坐标: 25,30,错误码: 21D,描述直行偏航角度太大(>15°),检查并复位",1、由于现场工作人员放入的物品超高，小车通过坐姿工作站下面时，超高的物品撞到护栏，导致走偏发生急停,"1、读取小车日志
2、手动操作校准小车重定位
3、点击已解决（恢复正常）"
飞箱异常,TOF异常,,101012 飞箱拉箱调整失败,"报警消息：拉箱<-货架
飞箱: 101012 箱位: (A012)03-023
拉箱机拉箱失败，抓钩总成后拉100mm拉不出来","1、箱子原本位置比较靠近里面，飞箱TOF可能识别有偏差，拉箱后撞到飞箱卡死
2、飞箱监控画面比较模糊，可能表面有脏污，已反馈现场人员擦拭
","1、读飞箱日志、TOF日志
2、手动控制把箱子推回货架中
3、终止任务— 启动任务—点击已解决"
客户操作,,,取消波次,WAVE PO2507120140,波次未启动，取消波次,在数据里操作，状态改为4
硬件,分拣机,电梯板,更新分拣机程序,更新分拣机程序，192.168.3.41，34 IP 192.168 .3.44，37 IP 192.168  .3.47，61 IP 192.168 3.71,现场更换了电梯板,小程序里更新，先读取版本号，对比一下一并更新
硬件,分拣机,电梯板,更新分拣机程序,"更新分拣机程序,#03-门#38, IP为192.168.3.48,192.168.3.47",现场更换了分拣机的电梯板，需要更新分拣机程序,使用小程序更新，先读取版本信息 确认版本号，最后统一更新
硬件,充电桩,,充电桩异常,美国希音B4第二套上层，（27.1）充电桩充电异常，无法给小车正常充电,1，充电嘴里的所料融化，压板往上翘 拉紧铜线 导致触点回弹困难,现场压板往下敲弯了些能回弹修复了
参数配置,,,新增白名单,添加白名单^EZUS\d{8}UNI$,,使用批量更新工具更新扫码台
客户操作,,,逆向波次关不了,逆向波次关不了，WES中两个容器挂机，PDA报错无法确认差异。,通过立镖WES>供料箱管理>供料箱列表页面搜索对应报错箱号，可知：该料箱之前已经被另外的PDA扫描过后被占用锁定，无法使用其他PDA继续扫描。,找到之前扫描过的PDA设备，通过原PDA操作解锁或扫描，即可恢复。
硬件,飞箱,雷达,101066雷达数据异常导致多次报错,"101066飞箱由于雷达数据异常出现多次定位失败和推拉箱报错
由于RCS画面卡主的问题，有报错都是尽快处理先保证现场使用，并且这个情况出现多次，想等现场不用的时候，让肖侠驹进一步排查
肖侠驹忘记确认是雷达问题还是主板问题，直接做了主板复位，恢复正常，待下次出现再确认
",,"都是远程临时解决的，
18:50左右，肖侠驹对主板复位，雷达数据恢复正常"
软件,RCS,,机器人带箱无法上架,"现场179台车都带着箱子无法上架，新入库的箱子也在接驳位不动
","1、怀疑主界面那个问题，是新的线程无法启动，重启RCS和电脑都无效
2、后确认是现场箱位满了导致
现场由于漏水和柱子凸出，已经二期调试，抑制了5个飞箱做上架，并且把箱子都转移出去了，所以导致箱位满了","临时取消了所有飞箱上架抑制恢复正常
13日凌晨已经修改成只禁用漏水和柱子凸出无法避免的箱位，目前还可以存放2546箱进去"
软件,RCS,,RCS地图界面卡卡住,"鲍工当时没有找到具体原因，由于现场可以正常使用，先保证现场使用，找时间重启电脑
后马鸣查看之后，是内存占用被吃完，不是RCS占用，需要排查具体什么程序导致，联系先不重启电脑，晚上研究",,"17:20分左右重启RCS恢复
大约在18:00左右处理料箱不上架的问题，重启RCS电脑，无法进一步排查"
波次问题（移除、迁移、关闭）,,,波次移除,波兰PNT仓第四套待启动波次PO2506190206移除,,操作数据修改波次信息中的状态为4即可移除该波次
波次问题（移除、迁移、关闭）,,,波次迁移,美国希音B4仓需要将波次： ID2507110002从第三套迁移到第四套,,操作数据库迁移波次
软件,RCS,,地图界面卡主不动,在处理完101001飞箱断电后，点击车服启动，车服地图界面卡住了，无法拖动和缩放，旋转角度也不行，点击飞箱小车无反应，小车和飞箱在地图上也不走动，但小车列表，飞箱列表，波次界面等都没有问题，没有卡主，车服上的运行时间也在跳动，下方日志电机显示和缩小正常,待排查，当时冷肖肖已反馈给鲍震渊,重启车服
硬件,飞箱,触点,飞箱断电,车服上查看101001飞箱是电源关闭状态，无法启动车服，电压显示0V，远程无法正常启动飞箱,1，触点接触不好或者铜线需要打磨一下,客户现场整理挪动触点，电压慢慢上来后，点击电机回零和X自动定位再启动
